, https://www.mediawiki.org/
The Encyclopedia of Science Fiction, /wiki/The_Encyclopedia_of_Science_Fiction
Opere riguardanti Fisica, https://openlibrary.org/subjects/physics
Open Library, /wiki/Open_Library
Internet Archive, /wiki/Internet_Archive
sito della Società Italiana di Fisica, https://web.archive.org/web/20100209035557/http://www.sif.it/SIF/it/portal
sito del Premio Nobel per la fisica, https://www.nobelprize.org/nobel_prizes/physics/
sito dell'American Physical Society, https://www.aps.org/
sito dell'American Association of Physics Teachers, http://www.aapt.org/
sito dell'American Institute of Physics, http://www.aip.org/
sito dell'Institute of Physics, http://www.iop.org/
Dal Brahaman alla Teoria delle Stringhe: la via orientale della fisica, http://www.elapsus.it/home1/index.php/scienza/astronomia/468-dal-brahaman-alla-teoria-delle-stringhe-la-via-orientale-della-fisica
V, /wiki/Template:Scienze_naturali
D, /w/index.php?title=Discussioni_template:Scienze_naturali&action=edit&redlink=1
M, https://it.wikipedia.org/w/index.php?title=Template:Scienze_naturali&action=edit
Energia, /wiki/Energia
Meccanica razionale, /wiki/Meccanica_razionale
Meccanica celeste, /wiki/Meccanica_celeste
Fluidodinamica, /wiki/Fluidodinamica
Onde, /wiki/Onda
campi, /wiki/Campo_(fisica)
Gravitazione, /wiki/Gravitazione
Relatività, /wiki/Teoria_della_relativit%C3%A0
Relatività speciale, /wiki/Relativit%C3%A0_speciale
matematiche, /wiki/Matematica
Fisica dell'acceleratore, /wiki/Fisica_dell%27acceleratore
Acustica, /wiki/Acustica
Chimica fisica, /wiki/Chimica_fisica
Fisica computazionale, /wiki/Fisica_computazionale
Fisica digitale, /w/index.php?title=Fisica_digitale&action=edit&redlink=1
Fisica tecnica, /wiki/Fisica_tecnica
Ottica non lineare, /wiki/Ottica_non_lineare
Ottica quantistica, /wiki/Ottica_quantistica
Fisica del plasma, /wiki/Plasma_(fisica)
Fisica dei polimeri, /w/index.php?title=Fisica_dei_polimeri&action=edit&redlink=1
economia, /wiki/Economia
Biomeccanica, /wiki/Biomeccanica
Neurofisica, /w/index.php?title=Neurofisica&action=edit&redlink=1
Agrofisica, /w/index.php?title=Agrofisica&action=edit&redlink=1
Fisica dell'atmosfera, /wiki/Fisica_dell%27atmosfera
Psicofisica, /wiki/Psicofisica
Scienze naturali, /wiki/Scienze_naturali
Astronomia, /wiki/Astronomia
Biologia, /wiki/Biologia
Scienze della Terra, /wiki/Scienze_della_Terra
Categoria delle voci correlate, /wiki/Categoria:Scienze_naturali
Controllo di autorità, /wiki/Aiuto:Controllo_di_autorit%C3%A0
Thesaurus BNCF, /wiki/Nuovo_soggettario
4964, https://thes.bncf.firenze.sbn.it/termine.php?id=4964
sh85101653, http://id.loc.gov/authorities/subjects/sh85101653
GND, /wiki/Gemeinsame_Normdatei
4045956-1, https://d-nb.info/gnd/4045956-1
BNF, /wiki/Biblioth%C3%A8que_nationale_de_France
cb11933127h, https://catalogue.bnf.fr/ark:/12148/cb11933127h
(data), https://data.bnf.fr/ark:/12148/cb11933127h
NDL, /wiki/Biblioteca_della_Dieta_nazionale_del_Giappone
00561121, https://id.ndl.go.jp/auth/ndlna/00561121
Portale Fisica, /wiki/Portale:Fisica
https://it.wikipedia.org/w/index.php?title=Fisica&oldid=125424495, https://it.wikipedia.org/w/index.php?title=Fisica&oldid=125424495
Categoria, /wiki/Categoria:Categorie
Informazioni senza fonte, /wiki/Categoria:Informazioni_senza_fonte
Controllare - fisica, /wiki/Categoria:Controllare_-_fisica
Controllare - ottobre 2009, /wiki/Categoria:Controllare_-_ottobre_2009
Stub sezione - fisica, /wiki/Categoria:Stub_sezione_-_fisica
Stub sezione - chimica, /wiki/Categoria:Stub_sezione_-_chimica
Stub sezione - economia, /wiki/Categoria:Stub_sezione_-_economia
Stub sezione - filosofia, /wiki/Categoria:Stub_sezione_-_filosofia
Voci con modulo citazione e parametro coautori, /wiki/Categoria:Voci_con_modulo_citazione_e_parametro_coautori
Collegamento interprogetto a Wikisource presente ma assente su Wikidata, /wiki/Categoria:Collegamento_interprogetto_a_Wikisource_presente_ma_assente_su_Wikidata
Collegamento interprogetto a Wikibooks presente ma assente su Wikidata, /wiki/Categoria:Collegamento_interprogetto_a_Wikibooks_presente_ma_assente_su_Wikidata
Collegamento interprogetto a Wikinews presente ma assente su Wikidata, /wiki/Categoria:Collegamento_interprogetto_a_Wikinews_presente_ma_assente_su_Wikidata
P3365 letta da Wikidata, /wiki/Categoria:P3365_letta_da_Wikidata
P902 letta da Wikidata, /wiki/Categoria:P902_letta_da_Wikidata
P1417 letta da Wikidata, /wiki/Categoria:P1417_letta_da_Wikidata
P5357 letta da Wikidata, /wiki/Categoria:P5357_letta_da_Wikidata
P3847 letta da Wikidata, /wiki/Categoria:P3847_letta_da_Wikidata
Voci con codice Thesaurus BNCF, /wiki/Categoria:Voci_con_codice_Thesaurus_BNCF
Voci con codice LCCN, /wiki/Categoria:Voci_con_codice_LCCN
Voci con codice GND, /wiki/Categoria:Voci_con_codice_GND
Voci con codice BNF, /wiki/Categoria:Voci_con_codice_BNF
Voci con codice NDL, /wiki/Categoria:Voci_con_codice_NDL
Voci non biografiche con codici di controllo di autorità, /wiki/Categoria:Voci_non_biografiche_con_codici_di_controllo_di_autorit%C3%A0
discussioni, /wiki/Speciale:MieDiscussioni
contributi, /wiki/Speciale:MieiContributi
registrati, /w/index.php?title=Speciale:CreaUtenza&returnto=Fisica
entra, /w/index.php?title=Speciale:Entra&returnto=Fisica
Voce, /wiki/Fisica
Discussione, /wiki/Discussione:Fisica
Leggi, /wiki/Fisica
Modifica, /w/index.php?title=Fisica&veaction=edit
Modifica wikitesto, /w/index.php?title=Fisica&action=edit
Cronologia, /w/index.php?title=Fisica&action=history
Pagina principale, /wiki/Pagina_principale
Ultime modifiche, /wiki/Speciale:UltimeModifiche
Una voce a caso, /wiki/Speciale:PaginaCasuale
Nelle vicinanze, /wiki/Speciale:NelleVicinanze
Vetrina, /wiki/Wikipedia:Vetrina
Aiuto, /wiki/Aiuto:Aiuto
Sportello informazioni, /wiki/Aiuto:Sportello_informazioni
Portale Comunità, /wiki/Portale:Comunit%C3%A0
Bar, /wiki/Wikipedia:Bar
Il Wikipediano, /wiki/Wikipedia:Wikipediano
Fai una donazione, //donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_it.wikipedia.org&uselang=it
Contatti, /wiki/Wikipedia:Contatti
Puntano qui, /wiki/Speciale:PuntanoQui/Fisica
Modifiche correlate, /wiki/Speciale:ModificheCorrelate/Fisica
Pagine speciali, /wiki/Speciale:PagineSpeciali
Link permanente, /w/index.php?title=Fisica&oldid=125424495
Informazioni pagina, /w/index.php?title=Fisica&action=info
Cita questa voce, /w/index.php?title=Speciale:Cita&page=Fisica&id=125424495&wpFormIdentifier=titleform
Elemento Wikidata, https://www.wikidata.org/wiki/Special:EntityPage/Q413
Crea un libro, /w/index.php?title=Speciale:Libro&bookcmd=book_creator&referer=Fisica
Scarica come PDF, /w/index.php?title=Speciale:DownloadAsPdf&page=Fisica&action=show-download-screen
Versione stampabile, /w/index.php?title=Fisica&printable=yes
Acèh, https://ace.wikipedia.org/wiki/Fisika
Afrikaans, https://af.wikipedia.org/wiki/Fisika
Alemannisch, https://als.wikipedia.org/wiki/Physik
አማርኛ, https://am.wikipedia.org/wiki/%E1%8B%A8%E1%89%B0%E1%8D%88%E1%8C%A5%E1%88%AE_%E1%88%95%E1%8C%8D%E1%8C%8B%E1%89%B5_%E1%8C%A5%E1%8A%93%E1%89%B5
Aragonés, https://an.wikipedia.org/wiki/Fisica
العربية, https://ar.wikipedia.org/wiki/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1
ܐܪܡܝܐ, https://arc.wikipedia.org/wiki/%DC%A6%DC%9D%DC%A3%DC%9D%DC%9F
الدارجة, https://ary.wikipedia.org/wiki/%D9%81%D9%8A%D8%B2%D9%8A%D9%83
مصرى, https://arz.wikipedia.org/wiki/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7
অসমীয়া, https://as.wikipedia.org/wiki/%E0%A6%AA%E0%A6%A6%E0%A6%BE%E0%A7%B0%E0%A7%8D%E0%A6%A5_%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8
Asturianu, https://ast.wikipedia.org/wiki/F%C3%ADsica
Kotava, https://avk.wikipedia.org/wiki/Altelopa
Azərbaycanca, https://az.wikipedia.org/wiki/Fizika
تۆرکجه, https://azb.wikipedia.org/wiki/%D9%81%DB%8C%D8%B2%DB%8C%DA%A9
Башҡортса, https://ba.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Boarisch, https://bar.wikipedia.org/wiki/Physik
Žemaitėška, https://bat-smg.wikipedia.org/wiki/Fiz%C4%97ka
Bikol Central, https://bcl.wikipedia.org/wiki/Pisika
Беларуская, https://be.wikipedia.org/wiki/%D0%A4%D1%96%D0%B7%D1%96%D0%BA%D0%B0
Беларуская (тарашкевіца), https://be-tarask.wikipedia.org/wiki/%D0%A4%D1%96%D0%B7%D1%8B%D0%BA%D0%B0
Български, https://bg.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
भोजपुरी, https://bh.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A5%80
Banjar, https://bjn.wikipedia.org/wiki/Pisika
বাংলা, https://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8
བོད་ཡིག, https://bo.wikipedia.org/wiki/%E0%BD%91%E0%BD%84%E0%BD%BC%E0%BD%A6%E0%BC%8B%E0%BD%81%E0%BD%98%E0%BD%A6%E0%BC%8B%E0%BD%A2%E0%BD%B2%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BC%8B
বিষ্ণুপ্রিয়া মণিপুরী, https://bpy.wikipedia.org/wiki/%E0%A6%AA%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8
Brezhoneg, https://br.wikipedia.org/wiki/Fizik
Bosanski, https://bs.wikipedia.org/wiki/Fizika
ᨅᨔ ᨕᨘᨁᨗ, https://bug.wikipedia.org/wiki/%E1%A8%84%E1%A8%97%E1%A8%94%E1%A8%97%E1%A8%80
Буряад, https://bxr.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D1%8D
Català, https://ca.wikipedia.org/wiki/F%C3%ADsica
Mìng-dĕ̤ng-ngṳ̄, https://cdo.wikipedia.org/wiki/%C5%ACk-l%C4%AB
Нохчийн, https://ce.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Cebuano, https://ceb.wikipedia.org/wiki/Pisika
کوردی, https://ckb.wikipedia.org/wiki/%D9%81%DB%8C%D8%B2%DB%8C%DA%A9
Corsu, https://co.wikipedia.org/wiki/Fisica
Qırımtatarca, https://crh.wikipedia.org/wiki/Fizika
Čeština, https://cs.wikipedia.org/wiki/Fyzika
Kaszëbsczi, https://csb.wikipedia.org/wiki/Fizyka
Чӑвашла, https://cv.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Cymraeg, https://cy.wikipedia.org/wiki/Ffiseg
Dansk, https://da.wikipedia.org/wiki/Fysik
Deutsch, https://de.wikipedia.org/wiki/Physik
Thuɔŋjäŋ, https://din.wikipedia.org/wiki/Pi%C3%B6%C3%B6ckat%C9%94%C9%94r
Zazaki, https://diq.wikipedia.org/wiki/Fizik
Dolnoserbski, https://dsb.wikipedia.org/wiki/Fyzika
ދިވެހިބަސް, https://dv.wikipedia.org/wiki/%DE%8A%DE%A9%DE%92%DE%A8%DE%94%DE%A7%DE%87%DE%A9_%DE%87%DE%A8%DE%8D%DE%B0%DE%89%DE%AA
ཇོང་ཁ, https://dz.wikipedia.org/wiki/%E0%BD%91%E0%BD%84%E0%BD%BC%E0%BD%A6%E0%BC%8B%E0%BD%81%E0%BD%98%E0%BD%A6%E0%BC%8B%E0%BD%A2%E0%BD%B2%E0%BD%82%E0%BC%8B%E0%BD%94
Ελληνικά, https://el.wikipedia.org/wiki/%CE%A6%CF%85%CF%83%CE%B9%CE%BA%CE%AE
Emiliàn e rumagnòl, https://eml.wikipedia.org/wiki/F%C3%AEsica
English, https://en.wikipedia.org/wiki/Physics
Esperanto, https://eo.wikipedia.org/wiki/Fiziko
Español, https://es.wikipedia.org/wiki/F%C3%ADsica
Eesti, https://et.wikipedia.org/wiki/F%C3%BC%C3%BCsika
Euskara, https://eu.wikipedia.org/wiki/Fisika
Estremeñu, https://ext.wikipedia.org/wiki/F%C3%ADsica
فارسی, https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B2%DB%8C%DA%A9
Suomi, https://fi.wikipedia.org/wiki/Fysiikka
Võro, https://fiu-vro.wikipedia.org/wiki/F%C3%BC%C3%BCsiga
Na Vosa Vakaviti, https://fj.wikipedia.org/wiki/Fisiki
Føroyskt, https://fo.wikipedia.org/wiki/Alisfr%C3%B8%C3%B0i
Français, https://fr.wikipedia.org/wiki/Physique
Arpetan, https://frp.wikipedia.org/wiki/Fesica
Nordfriisk, https://frr.wikipedia.org/wiki/F%C3%BCsiik
Furlan, https://fur.wikipedia.org/wiki/Fisiche
Frysk, https://fy.wikipedia.org/wiki/Natuerkunde
Gaeilge, https://ga.wikipedia.org/wiki/Fisic
贛語, https://gan.wikipedia.org/wiki/%E7%89%A9%E7%90%86%E5%AD%B8
Kriyòl gwiyannen, https://gcr.wikipedia.org/wiki/Fizik
Gàidhlig, https://gd.wikipedia.org/wiki/Fiosaig
Galego, https://gl.wikipedia.org/wiki/F%C3%ADsica
Avañe'ẽ, https://gn.wikipedia.org/wiki/Mba%27erekokuaa
ગુજરાતી, https://gu.wikipedia.org/wiki/%E0%AA%AD%E0%AB%8C%E0%AA%A4%E0%AA%BF%E0%AA%95%E0%AA%B6%E0%AA%BE%E0%AA%B8%E0%AB%8D%E0%AA%A4%E0%AB%8D%E0%AA%B0
Gaelg, https://gv.wikipedia.org/wiki/Fishig
客家語/Hak-kâ-ngî, https://hak.wikipedia.org/wiki/Vu%CC%8Dt-l%C3%AE-ho%CC%8Dk
Hawaiʻi, https://haw.wikipedia.org/wiki/K%C4%81laik%C5%ABlohea
עברית, https://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%96%D7%99%D7%A7%D7%94
हिन्दी, https://hi.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95_%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0
Fiji Hindi, https://hif.wikipedia.org/wiki/Bhautik_vigyan
Hrvatski, https://hr.wikipedia.org/wiki/Fizika
Hornjoserbsce, https://hsb.wikipedia.org/wiki/Fyzika
Kreyòl ayisyen, https://ht.wikipedia.org/wiki/Fizik
Magyar, https://hu.wikipedia.org/wiki/Fizika
Հայերեն, https://hy.wikipedia.org/wiki/%D5%96%D5%AB%D5%A6%D5%AB%D5%AF%D5%A1
Interlingua, https://ia.wikipedia.org/wiki/Physica
Bahasa Indonesia, https://id.wikipedia.org/wiki/Fisika
Interlingue, https://ie.wikipedia.org/wiki/Fisica
Igbo, https://ig.wikipedia.org/wiki/%E1%BB%8C%CC%80m%E1%BB%A5%CC%80nt%E1%BB%A5d%E1%BB%8B
Ilokano, https://ilo.wikipedia.org/wiki/Pisika
Ido, https://io.wikipedia.org/wiki/Fiziko
Íslenska, https://is.wikipedia.org/wiki/E%C3%B0lisfr%C3%A6%C3%B0i
ᐃᓄᒃᑎᑐᑦ/inuktitut, https://iu.wikipedia.org/wiki/%E1%90%86%E1%92%AB%E1%91%A6%E1%93%B1%E1%93%95%E1%95%86%E1%93%82%E1%96%85/umatsuliriniq
日本語, https://ja.wikipedia.org/wiki/%E7%89%A9%E7%90%86%E5%AD%A6
Patois, https://jam.wikipedia.org/wiki/Fizix
La .lojban., https://jbo.wikipedia.org/wiki/termu%27eske
Jawa, https://jv.wikipedia.org/wiki/Fisika
ქართული, https://ka.wikipedia.org/wiki/%E1%83%A4%E1%83%98%E1%83%96%E1%83%98%E1%83%99%E1%83%90
Taqbaylit, https://kab.wikipedia.org/wiki/Tasengama
Kongo, https://kg.wikipedia.org/wiki/Fizika
Gĩkũyũ, https://ki.wikipedia.org/wiki/Physics
Қазақша, https://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Kalaallisut, https://kl.wikipedia.org/wiki/Uumaatsulerineq
ភាសាខ្មែរ, https://km.wikipedia.org/wiki/%E1%9E%9A%E1%9E%BC%E1%9E%94%E1%9E%9C%E1%9E%B7%E1%9E%91%E1%9F%92%E1%9E%99%E1%9E%B6
ಕನ್ನಡ, https://kn.wikipedia.org/wiki/%E0%B2%AD%E0%B3%8C%E0%B2%A4%E0%B2%B6%E0%B2%BE%E0%B2%B8%E0%B3%8D%E0%B2%A4%E0%B3%8D%E0%B2%B0
한국어, https://ko.wikipedia.org/wiki/%EB%AC%BC%EB%A6%AC%ED%95%99
कॉशुर / کٲشُر, https://ks.wikipedia.org/wiki/%D8%B7%D8%A8%D9%8E%DB%8C%D8%B9%DB%8C%D8%A7%D8%AA
Kurdî, https://ku.wikipedia.org/wiki/Fiz%C3%AEk
Kernowek, https://kw.wikipedia.org/wiki/Fysegieth
Кыргызча, https://ky.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Latina, https://la.wikipedia.org/wiki/Physica
Ladino, https://lad.wikipedia.org/wiki/Fisika
Lëtzebuergesch, https://lb.wikipedia.org/wiki/Physik
Лезги, https://lez.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Lingua Franca Nova, https://lfn.wikipedia.org/wiki/Fisica
Luganda, https://lg.wikipedia.org/wiki/Ebyobuzimbe
Limburgs, https://li.wikipedia.org/wiki/Natuurkunde
Ligure, https://lij.wikipedia.org/wiki/Fixica
Ladin, https://lld.wikipedia.org/wiki/Fisica
Lombard, https://lmo.wikipedia.org/wiki/Fisica
Lingála, https://ln.wikipedia.org/wiki/F%C3%ADz%C3%ADk%C3%AD
ລາວ, https://lo.wikipedia.org/wiki/%E0%BA%A7%E0%BA%B1%E0%BA%94%E0%BA%96%E0%BA%B8%E0%BA%A7%E0%BA%B4%E0%BA%97%E0%BA%B0%E0%BA%8D%E0%BA%B2
Lietuvių, https://lt.wikipedia.org/wiki/Fizika
Latviešu, https://lv.wikipedia.org/wiki/Fizika
Madhurâ, https://mad.wikipedia.org/wiki/Fisika
मैथिली, https://mai.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95_%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E2%80%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0
Basa Banyumasan, https://map-bms.wikipedia.org/wiki/Fisika
Malagasy, https://mg.wikipedia.org/wiki/Fizika
Олык марий, https://mhr.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B5
Minangkabau, https://min.wikipedia.org/wiki/Fisika
Македонски, https://mk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
മലയാളം, https://ml.wikipedia.org/wiki/%E0%B4%AD%E0%B5%97%E0%B4%A4%E0%B4%BF%E0%B4%95%E0%B4%B6%E0%B4%BE%E0%B4%B8%E0%B5%8D%E0%B4%A4%E0%B5%8D%E0%B4%B0%E0%B4%82
Монгол, https://mn.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA
मराठी, https://mr.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0
Bahasa Melayu, https://ms.wikipedia.org/wiki/Fizik
Mirandés, https://mwl.wikipedia.org/wiki/F%C3%ADsica
မြန်မာဘာသာ, https://my.wikipedia.org/wiki/%E1%80%9B%E1%80%B0%E1%80%95%E1%80%97%E1%80%B1%E1%80%92
Эрзянь, https://myv.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
مازِرونی, https://mzn.wikipedia.org/wiki/%D9%81%DB%8C%D8%B2%DB%8C%DA%A9
Nāhuatl, https://nah.wikipedia.org/wiki/Iuhcayotl
Napulitano, https://nap.wikipedia.org/wiki/F%C3%ADseca
Plattdüütsch, https://nds.wikipedia.org/wiki/Physik
Nedersaksies, https://nds-nl.wikipedia.org/wiki/Netuurkunde
नेपाली, https://ne.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95_%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0
नेपाल भाषा, https://new.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95_%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0
Nederlands, https://nl.wikipedia.org/wiki/Natuurkunde
Norsk nynorsk, https://nn.wikipedia.org/wiki/Fysikk
Norsk bokmål, https://no.wikipedia.org/wiki/Fysikk
Novial, https://nov.wikipedia.org/wiki/Fisike
Nouormand, https://nrm.wikipedia.org/wiki/Ph%C5%B7sique
Sesotho sa Leboa, https://nso.wikipedia.org/wiki/Fisika
Occitan, https://oc.wikipedia.org/wiki/Fisica
Oromoo, https://om.wikipedia.org/wiki/Fiiziksii
ଓଡ଼ିଆ, https://or.wikipedia.org/wiki/%E0%AC%AA%E0%AC%A6%E0%AC%BE%E0%AC%B0%E0%AD%8D%E0%AC%A5_%E0%AC%AC%E0%AC%BF%E0%AC%9C%E0%AD%8D%E0%AC%9E%E0%AC%BE%E0%AC%A8
Ирон, https://os.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%C3%A6
ਪੰਜਾਬੀ, https://pa.wikipedia.org/wiki/%E0%A8%AD%E0%A9%8C%E0%A8%A4%E0%A8%BF%E0%A8%95_%E0%A8%B5%E0%A8%BF%E0%A8%97%E0%A8%BF%E0%A8%86%E0%A8%A8
Kapampangan, https://pam.wikipedia.org/wiki/F%C3%ADsika
Picard, https://pcd.wikipedia.org/wiki/Fisike
Norfuk / Pitkern, https://pih.wikipedia.org/wiki/Fisiks
Polski, https://pl.wikipedia.org/wiki/Fizyka
Piemontèis, https://pms.wikipedia.org/wiki/F%C3%ACsica
پنجابی, https://pnb.wikipedia.org/wiki/%D9%81%D8%B2%DA%A9%D8%B3
پښتو, https://ps.wikipedia.org/wiki/%D9%81%D8%B2%DB%8C%DA%A9
Português, https://pt.wikipedia.org/wiki/F%C3%ADsica
Runa Simi, https://qu.wikipedia.org/wiki/Pachaykamay
Română, https://ro.wikipedia.org/wiki/Fizic%C4%83
Armãneashti, https://roa-rup.wikipedia.org/wiki/Fizic%C3%A2
Русский, https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Русиньскый, https://rue.wikipedia.org/wiki/%D0%A4%D1%96%D0%B7%D1%96%D0%BA%D0%B0
संस्कृतम्, https://sa.wikipedia.org/wiki/%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D
Саха тыла, https://sah.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Sardu, https://sc.wikipedia.org/wiki/F%C3%ACsica
Sicilianu, https://scn.wikipedia.org/wiki/F%C3%ACsica
Scots, https://sco.wikipedia.org/wiki/Naitural_philosophy
سنڌي, https://sd.wikipedia.org/wiki/%D9%81%D8%B2%DA%AA%D8%B3
Srpskohrvatski / српскохрватски, https://sh.wikipedia.org/wiki/Fizika
Taclḥit, https://shi.wikipedia.org/wiki/Tasngama
ၽႃႇသႃႇတႆး, https://shn.wikipedia.org/wiki/%E1%80%95%E1%81%A2%E1%82%86%E1%80%B8%E1%82%81%E1%81%A2%E1%80%84%E1%80%BA%E1%82%88
සිංහල, https://si.wikipedia.org/wiki/%E0%B6%B7%E0%B7%9E%E0%B6%AD%E0%B7%92%E0%B6%9A_%E0%B7%80%E0%B7%92%E0%B6%AF%E0%B7%8A%E2%80%8D%E0%B6%BA%E0%B7%8F%E0%B7%80
Simple English, https://simple.wikipedia.org/wiki/Physics
Slovenčina, https://sk.wikipedia.org/wiki/Fyzika
سرائیکی, https://skr.wikipedia.org/wiki/%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C%D8%A7%D8%AA_(%D9%81%D8%B2%DA%A9%D8%B3)
Slovenščina, https://sl.wikipedia.org/wiki/Fizika
Gagana Samoa, https://sm.wikipedia.org/wiki/Fisiki
ChiShona, https://sn.wikipedia.org/wiki/Fundoyetsimba
Soomaaliga, https://so.wikipedia.org/wiki/Fiisigis
Shqip, https://sq.wikipedia.org/wiki/Fizika
Српски / srpski, https://sr.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
Sranantongo, https://srn.wikipedia.org/wiki/Sabi_fu_natru
Sesotho, https://st.wikipedia.org/wiki/Fisiksi
Seeltersk, https://stq.wikipedia.org/wiki/Physik
Sunda, https://su.wikipedia.org/wiki/Fisika
Svenska, https://sv.wikipedia.org/wiki/Fysik
Kiswahili, https://sw.wikipedia.org/wiki/Fizikia
Ślůnski, https://szl.wikipedia.org/wiki/Fizyka
தமிழ், https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%AF%E0%AE%B1%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%AF%E0%AE%B2%E0%AF%8D
ತುಳು, https://tcy.wikipedia.org/wiki/%E0%B2%AD%E0%B3%8C%E0%B2%A4_%E0%B2%B6%E0%B2%BE%E0%B2%B8%E0%B3%8D%E0%B2%A4%E0%B3%8D%E0%B2%B0
తెలుగు, https://te.wikipedia.org/wiki/%E0%B0%AD%E0%B1%8C%E0%B0%A4%E0%B0%BF%E0%B0%95_%E0%B0%B6%E0%B0%BE%E0%B0%B8%E0%B1%8D%E0%B0%A4%E0%B1%8D%E0%B0%B0%E0%B0%AE%E0%B1%81
Тоҷикӣ, https://tg.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0
ไทย, https://th.wikipedia.org/wiki/%E0%B8%9F%E0%B8%B4%E0%B8%AA%E0%B8%B4%E0%B8%81%E0%B8%AA%E0%B9%8C
ትግርኛ, https://ti.wikipedia.org/wiki/%E1%8D%8A%E1%8B%9A%E1%8A%AD%E1%88%B5
Türkmençe, https://tk.wikipedia.org/wiki/Fizika
Tagalog, https://tl.wikipedia.org/wiki/Pisika
Lea faka-Tonga, https://to.wikipedia.org/wiki/Fisiki
Türkçe, https://tr.wikipedia.org/wiki/Fizik
